"ccg","Period.Type","access_2021","access_2122","access_2021_1c","access_2122_1c","mhspend_perc_allocation_1718","mhspend_perc_allocation_1819","mhspend_perc_allocation_1920","mhspend_perc_allocation_2021","mhspend_perc_allocation_2122","mhspend_allages_1718","mhspend_allages_1819","mhspend_allages_1920","mhspend_allages_2021","mhspend_allages_2122","mhspend_cyp_1718","mhspend_cyp_1819","mhspend_cyp_1920","mhspend_cyp_2021","mhspend_cyp_2122","EDspend_1718","EDspend_1819","EDspend_1920","EDspend_2021","EDspend_2122","t4beddays_Q1_201718","t4beddays_Q2_201718","t4beddays_Q3_201718","t4beddays_Q4_201718","t4beddays_Q1_201819","t4beddays_Q2_201819","t4beddays_Q3_201819","t4beddays_Q4_201819","t4beddays_Q1_201920","t4beddays_Q2_201920","t4beddays_Q3_201920","t4beddays_Q4_201920","t4beddays_Q1_202021","t4beddays_Q2_202021","t4beddays_Q3_202021","t4beddays_Q4_202021","t4beddays_Q1_202122","t4beddays_Q2_202122","t4beddays_Q3_202122","t4beddays_Q4_202122","t4admissions_Q1_201718","t4admissions_Q2_201718","t4admissions_Q3_201718","t4admissions_Q4_201718","t4admissions_Q1_201819","t4admissions_Q2_201819","t4admissions_Q3_201819","t4admissions_Q4_201819","t4admissions_Q1_201920","t4admissions_Q2_201920","t4admissions_Q3_201920","t4admissions_Q4_201920","t4admissions_Q1_202021","t4admissions_Q2_202021","t4admissions_Q3_202021","t4admissions_Q4_202021","t4admissions_Q1_202122","t4admissions_Q2_202122","t4admissions_Q3_202122","t4admissions_Q4_202122","adultward_Q1_202021","adultward_Q2_202021","adultward_Q3_202021","adultward_Q4_202021","adultward_Q1_202122","adultward_Q2_202122","adultward_Q3_202122","adultward_Q4_202122","org_cd","no_referred_2122","avg_wait_days_2122","wait_0to4_weeks_2122","wait_0to4_weeks_perc_2122","wait_4to6_weeks_2122","wait_4to6_weeks_perc_2122","wait_6to8_weeks_2122","wait_6to8_weeks_perc_2122","wait_8to10_weeks_2122","wait_8to10_weeks_perc_2122","wait_10to12_weeks_2122","wait_10to12_weeks_perc_2122","wait_over12_weeks_2122","wait_over12_weeks_perc_2122","referrals_closed_number_2122","referrals_closed_2122","stillwaiting_nocontact_2122","stillwaiting_nocontact_perc_2122","stillwaiting_onecontact_2122","stillwaiting_onecontact_perc_2122","contacts_before_referral_2122","overall_score_2021","no_referred_2021","wait_0to4_weeks_2021","wait_4to6_weeks_2021","wait_6to8_weeks_2021","wait_8to10_weeks_2021","wait_10to12_weeks_2021","wait_over12_weeks_2021","referrals_closed_number_2021","stillwaiting_nocontact_2021","stillwaiting_onecontact_2021","contacts_before_referral_2021","wait_days_2021","avg_wait_days_2021","referrals_closed_2021","overall_score_1920","no_referred_1920","wait_0to4_weeks_1920","wait_4to6_weeks_1920","wait_6to8_weeks_1920","wait_8to10_weeks_1920","wait_10to12_weeks_1920","wait_over12_weeks_1920","referrals_closed_number_1920","stillwaiting_nocontact_1920","stillwaiting_onecontact_1920","contacts_before_referral_1920","wait_days_1920","avg_wait_days_1920","referrals_closed_1920","pop_2018","pop_2019","pop_2020","spc_202122","spc_202021","spc_201920","percreferred_202122","percreferred_202021","percreferred_201920","total_budget_202122","total_budget_202021","total_budget_201920","total_budget_201819","total_budget_201718","pbudget_camhs_2122","pbudget_camhs_2021","pbudget_camhs_1920","pbudget_camhs_1819","pbudget_camhs_1718","spc_2122_quintile","pbudget_2122_quintile","avgwait_2122_quintile","percreferred_2122_quintile","referralsclosed_2122_quintile","overall_score_2122"
"NHS West Leicestershire CCG","Rolling 12 month",2655,3535,3520,4010,0.150440515265858,0.143679244593925,0.137581914123276,0.139384025074458,0.150013980767365,65003000,62081215.3626323,62935058.050809,68149899.2908586,73347269.718,3250000,3161582.10159023,3715774.50141516,4044560.0384038,4050768.859,265000,238999.746824572,280475.273653421,331587.339141055,496735.62293,779,483,547,284,289,619,890,1024,930,527,355,437,225,456,416,316,350,447,516,669,7,9,9,5,10,10,15,13,10,6,7,11,5,NA,5,NA,5,5,NA,8,NA,NA,NA,5,40,20,NA,NA,"04V",4250,13,2015,47,65,1,35,0,25,0,30,0,90,2,910,21,655,15,375,8,50,15,2865,1080,45,20,20,25,70,425,740,385,65,28650,10,15,10,2725,570,95,80,90,45,210,640,675,315,5,119900,44,23,79638,80536,81457,49.7289227322391,49.6527006691113,46.1380562905429,0.0521747670550106,0.035171931202966,0.0338358001390682,488936226.762382,488936226.762381,457437000,432082000,432084401.500001,0.00828486137307357,0.00827216274233945,0.00812303005969163,0.00731708819527365,0.00752167860889557,1,2,5,2,5,15
"NHS East and North Hertfordshire CCG","Rolling 12 month",2895,3065,4430,4585,0.122853205557179,0.123354232828731,0.124377408122595,0.123844662158401,0.130542992551596,89699494,90580000,96551570,101447110,106934034.09,6031000,7304000,8314000,8865611.40294099,10110119.075,340000,432000,475000,591864.001593013,915878.17377,1284,1610,1539,1096,1207,1006,1093,1017,1108,1172,1248,1175,1155,1108,1308,1219,1166,861,1057,1019,24,21,17,23,18,23,26,17,17,20,16,24,17,13,14,8,7,9,5,8,NA,NA,NA,NA,NA,NA,40,NA,"06K",6155,37,1045,16,230,3,145,2,100,1,75,1,230,3,2840,46,1070,17,415,6,NA,16,4760,1295,105,60,25,30,75,1960,610,595,0,85680,18,41,16,4880,1055,120,90,70,60,160,2120,750,460,0,141520,29,43,125299,126124,127116,79.534591042827,69.7442603837518,65.9192540674257,0.0484203404764152,0.0374461122124674,0.0386920808093622,819148021.658346,819148021.658343,776279000.000001,734308000.000002,730135559.6965,0.012342237065448,0.0108229662631582,0.0107100668702876,0.00994677982535936,0.0082601099479485,4,5,3,1,1,14
"NHS Herts Valleys CCG","Rolling 12 month",3825,4860,5765,7595,0.122789342323624,0.123762587175072,0.124687151015806,0.126729256393013,0.131386595875824,93967000,96379991,102673509.816814,107685638.00994,111643118.61,6406000,8709000,8606406.9454635,10544777.467652,10796543.512,377000,673000,961734.318645589,906670.39944,1195077.0328,1932,1392,1677,2059,2451,1669,1469,1208,1329,1546,1294,1314,1227,1693,1730,1417,1400,1799,1821,1779,18,15,21,27,24,17,26,19,23,16,18,25,21,25,16,19,19,14,6,13,NA,NA,NA,NA,NA,NA,NA,NA,"06N",8400,40,1405,16,260,3,165,1,125,1,75,0,370,4,3035,36,2100,25,865,10,NA,17,6235,1410,160,80,60,40,190,1945,1400,955,0,168345,27,31,15,6600,1210,180,125,85,55,250,2300,1475,910,5,224400,34,35,141543,142204,143287,75.3490792046731,73.5920039337274,60.5215531592888,0.0586236015828372,0.0435140661748798,0.0464121965626846,849729897.222667,849729897.222667,823448999.999997,778748999.999999,765270000.000002,0.0127058534097581,0.0124095639121531,0.0104516575349093,0.0111833209416641,0.00837090177323034,3,5,3,3,3,17
"NHS West Essex CCG","Rolling 12 month",1685,1845,2320,2440,0.112036429892942,0.114831416679591,0.112361846712679,0.0823216149686228,0.0861492653781867,43795000,45164000,46739943.91,49627520,51935016,2864000,3749320,4234766.319,4684720,4782000,160000,159410,164710.124,188980,254000,497,692,737,740,621,898,1000,1208,899,613,689,652,511,183,254,202,204,208,431,494,9,NA,7,NA,8,9,6,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,10,NA,NA,NA,NA,NA,NA,NA,"07H",2770,24,920,33,60,2,25,0,20,0,10,0,110,3,1140,41,290,10,200,7,NA,12,2200,885,25,20,20,10,35,710,225,270,0,22000,10,32,11,2205,500,40,25,20,15,145,1005,195,260,0,83790,38,46,68886,69892,70703,67.6350367028273,66.2591403476514,60.5901436358954,0.0391779698174052,0.0311160771112966,0.0315486750987237,602849203.321821,602849203.321822,415976999.999999,393307000.000001,390899639.000001,0.00793233195573655,0.00777096490164744,0.0101802895809143,0.0095328077049226,0.00732668878213006,3,1,5,1,2,12
"NHS Cannock Chase CCG","Rolling 12 month",820,1110,1110,1635,0.193382703338047,0.157731101485404,0.161687732732462,0.144200483325357,0.14861045165649,26682623.231,27024227.3485958,29145022.26369,28900205.99024,29784037.932,2106083.6768,2531554.1665,3246702.6544,3341220.7496,1962435.6673,147150.69631,176878.04262,223290.47559,224578.3504,178088.21299,131,118,127,69,88,28,132,156,96,192,106,78,57,92,189,211,130,99,61,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,"04Y",1785,65,125,7,60,3,65,3,60,3,50,2,165,9,785,44,345,19,130,7,NA,16,1315,95,25,30,30,25,110,490,420,95,0,106515,81,37,18,1810,105,30,35,30,20,65,665,785,75,0,103170,57,37,27278,27276,27508,71.3405433801076,121.463601483205,119.031480217041,0.0648902137559983,0.0478042751199651,0.066358703622232,200416845.518007,200416845.518007,180255000,171331000,137978334,0.00979177005918737,0.0166713568460981,0.0180117203650384,0.0147758092026545,0.015263872346799,3,3,1,3,1,11
"NHS East Staffordshire CCG","Rolling 12 month",930,1045,1115,1410,0.137210801056905,0.120264484091122,0.112918628594221,0.123224420712962,0.134726849870435,21291000,19620308.728078,19547795.47046,22970225.27619,25114389.456,870000,2540790.569,3044641.973,3113063.57136596,1868561.8305,68000,123913.42783,145773.967,149924.13666,170535.37139,66,195,131,178,201,292,156,58,NA,NA,25,189,82,126,235,243,152,204,191,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,10,"05D",1395,50,180,12,100,7,75,5,55,4,40,2,95,6,530,38,205,14,120,8,NA,15,1235,205,90,55,35,10,60,375,300,100,0,59280,48,30,18,1535,145,40,30,30,20,75,500,605,90,0,78285,51,33,27717,28082,28386,65.8268805220883,109.668976656308,108.419698490136,0.049143944197844,0.0435073627844712,0.054661348906773,186409683.594266,186409683.594266,173114000,163143000.000001,155170000,0.0100239525891104,0.0167001172435964,0.0175874971001767,0.015574009114703,0.00560675388283816,2,3,2,2,2,11
"NHS North Staffordshire CCG","Rolling 12 month",1805,2055,2330,2975,0.164185914501173,0.156513663227519,0.188883974735573,0.173906507660076,0.193084731976578,45700000,45276429.01212,57513092.58326,58427930.44822,64871300.346,1617000,1966623.3597,1162578.9147,2165807.55009505,5388459.6515,422000,475225.18203,490921.38299,488082.59272,497177.76242,1132,738,920,968,720,717,364,623,811,594,311,533,426,352,465,253,667,632,731,368,14,8,10,5,10,7,6,8,7,NA,6,7,NA,10,NA,NA,7,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05G",2645,31,680,25,130,4,75,2,55,2,40,1,125,4,1000,37,395,14,140,5,NA,13,2060,695,95,50,35,15,80,635,365,85,0,55620,27,31,11,2190,480,155,130,75,30,70,850,235,165,0,74460,34,39,40237,39988,39971,134.809227977784,54.1844724949351,29.0731948259478,0.0661729754071702,0.0515373645893273,0.0547664299289787,335973226.271817,335973226.271816,304489000.000001,289281000,278343000,0.0160383602922588,0.00644636947452124,0.00381813108092574,0.00679831499372581,0.00580937907545726,5,5,4,4,2,20
"NHS South East Staffordshire and Seisdon Peninsula CCG","Rolling 12 month",1365,1695,1800,2445,0.171017016528189,0.138518843417978,0.136372703053791,0.134145621009345,0.138687171084568,36908087.359,35866130.0508434,37463081.62861,39418615.9802,40753147.939,4975317.1251,5079762.0571,5001858.015,5130702.57143351,3196987.9,375942.22657,383834.23813,377947.69497,384042.39928,298851.94094,167,435,328,339,288,237,397,481,462,294,249,304,255,404,621,451,318,458,644,721,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,6,NA,NA,15,NA,NA,NA,5,5,"05Q",2320,57,250,10,85,3,85,3,75,3,70,2,190,8,1095,47,345,14,125,5,NA,15,1860,205,85,55,35,30,115,640,535,160,0,107880,58,34,20,2665,170,80,95,70,40,110,760,1200,145,0,141245,53,29,43748,43828,44210,72.3136824247908,116.052987365608,114.124715136442,0.052476815200181,0.0420719294277313,0.0608058775212193,293849442.744418,293849442.744419,274711000,258926000,215815292,0.010879679982176,0.0174603107071264,0.0182077092471725,0.0196185862257942,0.0230535893865204,3,4,1,2,1,11
"NHS Stafford and Surrounds CCG","Rolling 12 month",950,1070,1295,1660,0.187942926669461,0.173910934225446,0.178653961594089,0.113073681205254,0.121534032848574,27836421.202,30696323.3563966,33329325.76707,36790092.50561,39542785.407,2722332.5153,3239129.6474,3416040.096,3656950.46233215,3069273.8504,194197.80016,231063.56348,243683.48399,245956.12107,270067.29547,243,177,233,236,302,182,246,450,461,531,380,384,334,285,293,209,246,302,281,209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,5,10,NA,NA,"05V",1550,64,115,7,45,2,35,2,40,2,35,2,140,8,690,44,320,20,130,8,NA,16,1315,145,45,30,25,15,90,490,370,110,0,84160,64,37,20,1895,120,40,55,30,25,85,505,900,130,0,104225,55,27,29258,29647,29852,102.816355701461,122.502695374921,115.223803285324,0.0519228192415919,0.0440506498727053,0.0639187776166222,325363887.630295,325363887.630294,186558000,176506000,148111034,0.00943335744096948,0.0112395708354932,0.0183108743447078,0.0183513854905782,0.0183803491325299,5,3,1,2,1,12
"NHS Stoke On Trent CCG","Rolling 12 month",2825,3355,3440,4485,0.153171865515102,0.183057570784478,0.183620069391022,0.185075887016935,0.20532347962478,59600000,72800348.38285,76891087.67756,85969849.72758,95375086.26,2825000,3721444.6457,3727949.0778,3055753.5557,7341850.5732,590000,729618.48185,560519.44456,558128.41658,675575.38239,939,1073,1152,1116,552,546,439,184,381,632,786,679,718,382,206,429,473,428,317,336,11,10,14,11,7,11,NA,NA,8,12,7,11,12,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"05W",4200,25,1270,30,230,5,135,3,80,1,40,0,115,2,1585,37,480,11,265,6,NA,13,3040,1050,165,85,50,30,80,950,415,215,0,69920,23,31,15,3325,580,185,165,155,85,215,1275,365,295,0,146300,44,38,58914,59275,59653,123.075965554121,51.2254799540677,62.8924348848587,0.0704071882386468,0.0509613933917825,0.0560944749051033,464511347.821954,464511347.821953,418751000.000001,397691000.000001,389105400,0.0158055354462818,0.00657842606004809,0.00890254370210457,0.00935762852491002,0.00726024362550609,5,5,5,4,2,21
"NHS Brighton and Hove CCG","Rolling 12 month",2075,2065,2525,2700,0.192082115402676,0.181270941806121,0.175387892078199,0.182588008194186,0.193417749906893,73396228.363,68177813.9227,69397481.1375018,72440290.5868619,76736901.544,3990170.6,4228746.07418983,4730161.0452,5828057.65280018,6202647.9797,241893,235590.048256505,250955.93195,254591.766220091,260900.15318,682,667,840,654,296,556,569,340,533,684,543,470,433,368,298,277,467,589,571,636,NA,7,7,NA,5,7,NA,NA,9,12,6,NA,5,NA,NA,5,NA,8,7,NA,NA,NA,20,10,NA,NA,NA,NA,"09D",2885,72,235,8,130,4,105,3,100,3,110,3,360,12,690,23,870,30,285,9,NA,19,2210,465,150,110,85,40,110,500,555,195,0,88400,40,23,19,2505,390,175,155,125,75,245,565,485,285,0,145290,58,23,51005,50267,50332,123.234681310101,115.792292235559,94.1007230429506,0.0573193991893825,0.0439084479059048,0.0498338870431894,396741775.66919,396741775.66919,395680000,376109999.999999,382108600.8405,0.0156339673815239,0.0146898007979369,0.0119545113354226,0.0112433758054554,0.0104425040190749,5,5,1,3,5,19
"NHS Bolton CCG","Rolling 12 month",2295,2655,3545,4110,0.113811744904218,0.12988544369948,0.122072725185154,0.122721366593858,0.130770868757881,47874000,53598786.967915,53076366.4014286,56440415.9985714,60142438.42,3503000,3378000,4015000,4372159.3994,5374917.7289,269000,269000,277000,424421.67,261007.20575,1136,987,1294,1438,1042,890,1123,1078,964,884,875,956,843,734,722,842,946,1001,900,717,14,13,14,14,9,13,21,14,9,8,15,11,9,10,13,8,7,7,12,5,NA,5,NA,NA,NA,15,NA,5,"00T",4105,60,745,18,100,2,65,1,45,1,35,0,425,10,1305,31,420,10,965,23,NA,17,2675,540,70,40,40,30,90,560,625,680,0,69550,26,21,16,3225,660,75,80,75,50,165,970,435,710,0,119325,37,30,67670,68385,68931,77.9753337235787,63.4280570338454,58.711705783432,0.0595523059291175,0.0388069228648939,0.0471594647949112,459907003.68713,459907003.687133,434793000,412662000.000001,420641999.999999,0.0116869664645431,0.00950661626013052,0.00923427930072472,0.00818587609229827,0.0083277466349057,3,4,1,3,3,14
"NHS Bury CCG","Rolling 12 month",1875,1725,2625,2515,0.132985064029984,0.135991407719518,0.139127983869219,0.137920077020827,0.157663390271878,35588000,35752821.0465,38502000,43062954,49227432.796,1996000,2854271,3665786,4054437,4560925.2842,112000,144953,148605,173110,199339,386,529,533,535,526,381,573,705,866,836,670,467,331,351,577,408,468,365,317,260,NA,5,NA,NA,5,NA,8,7,6,10,NA,NA,7,9,6,5,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,10,"00V",3520,33,560,15,70,1,35,0,30,0,25,0,110,3,1750,49,710,20,230,6,NA,18,2600,620,85,50,35,35,180,935,305,355,0,106600,41,36,14,2385,375,55,35,50,65,185,1130,295,185,0,131175,55,47,43142,43289,43180,105.62587503937,93.8961787864752,84.681697428908,0.0815192218619731,0.0602130616025938,0.0550948277853496,312231220.647426,312231220.647427,276738000,262905000.000001,267609000,0.0146075247527864,0.012985367035343,0.013246413575295,0.0108566630531941,0.00745864302022727,5,5,4,5,1,20
"NHS Heywood, Middleton and Rochdale CCG","Rolling 12 month",3200,3840,3990,4655,0.124778632585283,0.124805040286537,0.12426610472093,0.124203376596812,0.131843325210376,41599000,40490000,42458000,45674068.4273,48483553.526,3357000,3387000,3763000,5324863.0211,5582975.8597,137000,137000,145000,188797.9258,248919.08313,539,672,751,717,304,305,567,207,261,358,581,523,301,167,128,410,496,424,308,204,9,8,5,6,NA,5,11,NA,8,NA,5,5,NA,6,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01D",4290,33,1475,34,170,3,85,2,65,1,55,1,270,6,1330,31,450,10,385,8,NA,23,2895,1275,100,95,55,60,100,505,400,305,0,60795,21,17,19,3260,1020,130,90,80,100,320,900,250,365,5,130400,40,28,52689,53299,53846,103.68413363481,98.8905957935594,70.6016998442747,0.079671656204732,0.0537644393269695,0.0611643745661269,367736125.045672,367736125.045672,341669999.999999,324426000,333382400.000001,0.0151820163412192,0.0144801194618523,0.0110135510873065,0.0104399770671894,0.0100695177669847,5,5,4,5,4,23
"NHS Manchester CCG","Rolling 12 month",6765,5755,9790,10315,0.137361855546736,0.158779517145481,0.159060885252375,0.103966701565848,0.11046527762509,116050410.91,129830676.8,137761360.23,149250716.67,158579829.93,8205000,9304734.4,11076955.13,10448120.28,11895803.16,355000,365508,355500,429667,594000,1385,1416,1367,1021,647,1051,1124,1278,1485,1547,1540,1252,888,1099,879,1114,1274,1336,1296,1000,15,16,16,NA,5,19,9,19,15,22,14,13,6,18,16,15,15,11,9,10,NA,25,5,NA,NA,15,NA,50,"14L",11680,33,2500,21,465,3,275,2,215,1,165,1,480,4,4460,38,1810,15,1310,11,NA,18,8530,1900,380,270,215,175,550,2140,1170,1730,0,332670,39,25,22,9795,1825,375,340,300,245,625,2225,1780,2085,0,391800,40,23,121962,122914,123872,96.0330273185223,84.3461014595712,90.1195561937615,0.0942908809093258,0.0688614053216223,0.0796898644580764,1435562679.41685,1435562679.41684,866092000,817679000.000002,844851800.000001,0.00828650906753323,0.00727806624524696,0.0127895825501217,0.0113794464575952,0.00971176246532231,5,2,4,5,2,18
"NHS Oldham CCG","Rolling 12 month",1880,2015,2635,3110,0.117929504338275,0.129428806468514,0.135393871513878,0.124658742736252,0.143532810700587,41855075.863,44219998.874,48847807.1463914,49552397.4161328,57054922.278,2759538.36266,3030670.4371,3298534.1872191,3750082.8939575,5186299.5112,138138,157680,162944.557197673,187586.634021894,220823.98511,367,264,286,341,413,455,431,333,214,289,381,454,273,317,369,254,410,655,451,431,6,NA,5,7,9,8,5,5,NA,7,NA,8,8,NA,5,NA,NA,6,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,"00Y",3670,57,475,12,95,2,90,2,75,2,80,2,335,9,1670,45,355,9,495,13,NA,12,2105,450,135,125,70,45,120,485,265,410,0,82095,39,23,16,2430,560,180,125,80,50,85,335,470,550,0,80190,33,14,59416,59592,59450,87.2380069167368,63.0796113365433,55.3519631363119,0.0617325483599664,0.035407905803196,0.0407772855416834,397504389.411129,397504389.411128,360783000,341654999.999999,354916067,0.0130471502940712,0.00943406662631563,0.00914270957118019,0.00887055783495049,0.00777518579529396,4,5,1,3,1,14
"NHS Salford CCG","Rolling 12 month",2880,2130,3715,3750,0.125670664256093,0.139891710439174,0.144920027409623,0.183275443177771,0.193196963576146,51577000,55342000,60697000,64406200,67892796,2736000,3363000,5410000,6624000,7888534,728000,177000,161000,233000,298792,757,550,901,945,470,342,392,591,498,390,225,424,299,403,354,331,194,364,264,176,9,NA,6,NA,NA,NA,10,10,7,NA,NA,7,NA,7,5,NA,NA,5,NA,5,NA,NA,NA,NA,5,NA,NA,10,"01G",3560,29,830,23,100,2,85,2,55,1,60,1,140,3,1255,35,625,17,410,11,NA,18,2835,840,165,75,50,35,110,950,295,315,0,76545,27,34,18,3360,510,200,155,165,120,200,1090,510,410,0,151200,45,32,56566,57452,58442,134.980561924643,113.343143629581,94.1655642971524,0.0609150953081688,0.0485096334827692,0.0584836037039616,351417510.623768,351417510.623767,418831000.000001,395606000.000001,410413999.999999,0.0224477544843961,0.0188493737498805,0.0129169044316204,0.00850088219086665,0.00666643925402157,5,5,4,3,3,20
"NHS Stockport CCG","Rolling 12 month",2325,2260,3150,3110,0.115031367469685,0.0731533076153736,0.117821359169779,0.122788186962357,0.136468359637567,47952000,30208000,51294000,57858549,64304730.515,3242000,3354000,2547000,3006950,3736132.4925,170000,170000,179000,195370,252754.00848,467,332,406,384,387,410,336,184,191,113,225,444,394,247,344,430,345,375,547,659,5,5,8,NA,NA,8,13,NA,NA,NA,5,9,NA,NA,6,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,"01W",3045,25,785,25,70,2,45,1,35,1,20,0,80,2,1365,44,380,12,255,8,NA,9,2820,620,75,50,30,50,160,935,515,385,0,107160,38,33,13,3115,710,95,85,75,60,405,990,315,380,0,158865,51,32,63141,63518,63903,58.465682244965,47.0549113500149,40.0988696117636,0.0476503450542228,0.0441293835970142,0.0490412166629932,471206151.27038,471206151.270379,435354000,412941000,416860210,0.00792887037324815,0.00638138952960019,0.00585041138935211,0.00812222569325884,0.00777718746531362,1,1,5,1,1,9
"NHS Tameside and Glossop CCG","Rolling 12 month",2160,2415,2870,3735,0.104054111599143,0.113350558407638,0.113451688991103,0.116898894295118,0.127285399331468,37611000,40273000,42375000,46612129.172047,50753632.112,521000,2136000,2637000,3540080.4534,4617737.4026,144000,120000,123000,144276.08773,238342.43339,1023,707,469,369,445,317,304,525,498,530,512,540,394,459,507,495,379,273,338,462,8,9,5,6,6,NA,7,5,6,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"01Y",3825,40,685,17,110,2,75,1,65,1,30,0,180,4,1005,26,1340,35,335,8,NA,14,2330,500,100,80,80,55,205,400,655,250,0,107180,46,17,12,2590,315,90,65,75,55,200,960,425,405,0,147630,57,37,56963,57355,57652,80.0967425692083,61.4042956601679,45.9768110888327,0.0663463539859849,0.0404149032123777,0.045157353325778,398738837.121694,398738837.121692,373507000.000001,355295999.999999,361456163.739999,0.0115808568734695,0.00887819325289247,0.00706010864588882,0.0060118886787355,0.00144139193701719,4,4,3,4,4,19
"NHS Trafford CCG","Rolling 12 month",1850,1720,2890,2865,0.100342114266165,0.104580593760456,0.108080463689056,0.103617431943125,0.114475692658663,32263000,32268655.94657,35187000,37019845.5,40899223,2180000,2041417.6576,2284000,2304219,3405764,167000,147570.36336,157000,209312,126300,283,196,205,457,119,77,173,244,193,295,282,190,211,268,291,189,315,410,366,424,8,NA,8,6,NA,NA,7,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02A",3880,42,310,7,40,0,25,0,15,0,15,0,95,2,1250,32,1790,46,345,8,NA,12,2210,690,90,80,60,35,125,490,250,400,0,64090,29,22,11,1670,465,50,30,20,30,80,430,210,350,0,45090,27,26,56087,56511,56626,60.1448804436125,40.6918906509377,40.4169099821274,0.0685197612404196,0.0390280083353936,0.0295517686822035,357274300.335102,357274300.335102,325562999.999999,308553000,321530000,0.00953263080161544,0.00644943954221947,0.00701553923510967,0.00661610050007616,0.00678008272944983,2,3,2,4,3,14
"NHS Wigan Borough CCG","Rolling 12 month",2095,2090,3135,3445,0.111774201678998,0.105050692396997,0.10542386020392,0.107756268065028,0.114643923461404,53392864,48860757.8449217,51645251.4844168,55277809.5507039,58811102.881,3546000,2726281.1618758,3332600.93358291,3819804.07462346,4444821.1896,269000,205844.082099425,213720.2315788,214292.610424512,233099.62765,676,568,442,408,297,479,580,426,603,568,274,315,378,345,258,417,504,604,643,558,9,6,NA,7,NA,5,9,12,13,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"02H",4860,35,710,14,150,3,120,2,85,1,40,0,145,2,2255,46,765,15,590,12,NA,13,2795,735,95,65,30,25,95,895,445,400,0,72670,26,32,18,3765,780,135,110,80,55,190,1215,570,635,0,135540,36,32,68388,68916,69384,64.0611839847804,55.053096890111,48.3574341746896,0.0700449671393981,0.0402830623774934,0.0546317255789657,512989272.395229,512989272.395228,489882000.000001,465116000,477685039.999998,0.00866454997946919,0.00744616755198055,0.00680286463593867,0.00586150801493777,0.0074233013451709,2,2,3,4,1,12
"NHS East Riding Of Yorkshire CCG","Rolling 12 month",1510,1680,2305,2465,0.139187936026425,0.141964238109971,0.143205190454816,0.142025002680319,0.146469671784971,53613661.8,55625705.454392,59015861.422763,62398248.29333,64351000,2919816.3013,3062942.4699,3287361.5835,3731141.7221,3721000,259470.09776,266500,276900.82875,277353.32523,279000,673,554,470,695,642,386,195,528,892,1192,1064,971,1014,883,755,758,531,173,390,486,5,NA,5,5,7,NA,NA,12,8,13,6,8,9,NA,6,7,5,NA,5,6,NA,NA,NA,NA,10,NA,NA,NA,"02Y",3360,28,530,15,70,2,55,1,35,1,25,0,75,2,1470,43,870,25,220,6,10,9,2190,405,40,45,30,25,120,895,425,215,0,89790,41,41,10,2430,345,140,70,50,40,130,920,620,115,0,109350,45,38,58894,58816,59023,63.0432204394897,63.2150470511495,55.8923011340452,0.0569269606763465,0.0371041797265473,0.0413152883569097,439346925.652106,439346925.652104,412107000.000001,391829000.000001,385188999.352799,0.00846938895606715,0.00849247258658297,0.00797696128311335,0.0078170387334781,0.00758021726011368,2,2,4,2,1,11
